,0,1,2
0,1.0,3.0,0.3142230519837537
1,1.0,3.0,0.3073472661811654
2,1.0,3.0,0.2893362354367919
3,1.0,3.0,0.2652879688664976
4,1.0,3.0,0.0
5,1.0,3.0,0.0
6,1.0,3.0,0.0
7,1.0,3.0,0.0
8,1.0,3.0,0.0
9,1.0,3.0,0.0
10,1.0,3.0,0.0
11,1.0,3.0,0.0
12,1.0,3.0,0.0
13,1.0,3.0,0.0
14,1.0,3.0,0.0
15,1.0,3.0,0.0
16,1.0,3.0,0.27285058272981977
17,1.0,3.0,0.2939002517350777
18,1.0,3.0,0.3032859236740487
19,1.0,3.0,0.2937196374205522
20,1.0,3.0,0.2726620607760837
21,1.0,3.0,0.0
22,1.0,3.0,0.0
23,1.0,3.0,0.0
24,1.0,3.0,0.0
25,1.0,3.0,0.0
26,1.0,3.0,0.0
27,1.0,3.0,0.0
28,1.0,3.0,0.0
29,1.0,3.0,0.0
30,1.0,3.0,0.0
31,1.0,3.0,0.0
32,1.0,3.0,0.0
33,1.0,3.0,0.26525747264989885
34,1.0,3.0,0.28935073287269875
35,1.0,3.0,0.3073398428162204
36,1.0,3.0,0.3142686963476507
